playerID,W,L,G,GS,CG,SHO,SV,IPouts,H,ER,HR,BB,SO,BAOpp,ERA,IBB,WP,HBP,BK,BFP,GF,R,SH,SF,GIDP,WHIP,HOF
valdera01,0,1,3,0,0,0,0,17.0,11,7,4,2,3,0.39,3.7058823529411766,0.0,0.0,0.0,0,30.0,2.0,7,0.0,0.0,0.0,2.2941176470588234,0
valdera02,7,7,103,3,0,0,2,421.0,138,80,20,49,147,1.622,1.7102137767220902,4.0,3.0,7.0,0,601.0,27.0,81,4.0,3.0,0.0,1.332541567695962,0
valdere01,1,1,5,1,0,0,0,39.0,13,8,1,7,10,0.26,1.8461538461538463,1.0,1.0,0.0,0,59.0,0.0,8,0.0,0.0,0.0,1.5384615384615383,0
valdese01,12,20,116,31,1,0,0,908.0,332,170,46,109,190,2.49,1.6850220264317182,11.0,16.0,5.0,1,1325.0,28.0,194,0.0,0.0,0.0,1.4570484581497798,0
valdewi01,1,0,1,0,0,0,0,3.0,0,0,0,0,0,0.0,0.0,0.0,0.0,1.0,0,4.0,1.0,0,0.0,0.0,0.0,0.0,0
valenco01,14,12,46,33,7,3,1,663.0,240,118,29,76,87,0.55,1.6018099547511313,2.0,1.0,5.0,2,951.0,6.0,121,0.0,0.0,0.0,1.4298642533936652,0
valenfe01,173,153,453,424,113,31,2,8790.0,2718,1154,226,1151,2074,4.5,1.1815699658703072,65.0,119.0,25.0,11,12398.0,10.0,1303,0.0,0.0,0.0,1.3204778156996588,0
valenjo01,2,10,13,12,11,0,0,306.0,130,40,0,17,13,0.0,1.1764705882352942,0.0,0.0,0.0,0,501.0,1.0,80,0.0,0.0,0.0,1.4411764705882353,0
valenjo04,2,4,42,1,0,0,4,137.0,46,34,9,37,39,0.961,2.2335766423357666,1.0,3.0,4.0,0,224.0,19.0,37,1.0,1.0,0.0,1.8175182481751826,0
valenvi01,13,14,108,15,3,0,3,771.0,266,135,35,122,94,2.2199999999999998,1.575875486381323,15.0,9.0,6.0,1,1132.0,43.0,145,0.0,0.0,0.0,1.509727626459144,0
valerju01,15,20,85,38,4,2,5,952.0,361,171,31,117,179,1.35,1.6165966386554622,11.0,8.0,6.0,1,1392.0,16.0,181,0.0,0.0,0.0,1.5063025210084033,0
valvejo01,27,33,626,0,0,0,288,1891.0,490,229,67,264,692,2.575,1.0898995240613432,31.0,24.0,26.0,3,2646.0,520.0,255,12.0,16.0,1.0,1.1961924907456372,0
vanalcl01,0,0,6,0,0,0,0,73.0,29,14,0,13,5,0.5700000000000001,1.726027397260274,0.0,1.0,1.0,0,110.0,5.0,15,0.0,0.0,0.0,1.7260273972602738,0
vanatru01,33,41,207,76,17,3,6,2137.0,838,443,39,368,339,2.32,1.8656995788488535,0.0,16.0,10.0,2,3291.0,66.0,498,0.0,0.0,0.0,1.6930276087973795,0
vanbejo01,2,13,26,19,0,0,0,270.0,125,92,14,68,65,1.001,3.066666666666667,2.0,2.0,10.0,1,463.0,3.0,100,6.0,4.0,0.0,2.1444444444444444,0
vanbroz01,0,2,11,2,0,0,0,86.0,39,25,4,20,11,0.74,2.616279069767442,1.0,2.0,1.0,1,137.0,3.0,27,0.0,0.0,0.0,2.058139534883721,0
vanbuje01,1,2,16,0,0,0,0,57.0,16,19,1,24,11,0.41,3.0,3.0,0.0,0.0,0,92.0,1.0,19,2.0,1.0,0.0,2.1052631578947367,0
vanceco01,1,3,11,4,0,0,0,94.0,35,20,8,14,13,0.554,1.9148936170212767,0.0,0.0,2.0,1,141.0,1.0,22,0.0,2.0,0.0,1.5638297872340425,0
vanceda01,197,140,442,347,216,29,11,8900.0,2809,1068,132,840,2045,5.15,1.08,0.0,37.0,77.0,2,12369.0,53.0,1246,0.0,0.0,0.0,1.23,1
vancejo01,3,2,15,3,0,0,0,172.0,67,37,5,34,17,0.89,1.936046511627907,0.0,3.0,0.0,0,264.0,9.0,40,0.0,0.0,0.0,1.7616279069767442,0
vancesa01,9,8,30,21,2,0,0,423.0,147,60,10,46,56,0.59,1.2765957446808511,2.0,8.0,1.0,0,605.0,3.0,68,0.0,0.0,0.0,1.3687943262411348,0
vancuch01,7,11,44,26,5,0,1,481.0,170,92,19,63,103,0.8200000000000001,1.7214137214137215,0.0,2.0,10.0,1,704.0,7.0,99,0.0,0.0,0.0,1.4532224532224534,0
vancujo01,0,0,7,0,0,0,0,31.0,12,6,1,3,3,0.97,1.7419354838709677,0.0,0.0,0.0,0,46.0,2.0,7,0.0,0.0,0.0,1.4516129032258065,0
vandeed01,25,28,413,17,2,0,22,1557.0,572,226,52,200,314,1.93,1.30635838150289,35.0,22.0,5.0,6,2262.0,146.0,252,0.0,0.0,0.0,1.48747591522158,0
vandehy01,15,10,90,22,7,1,5,875.0,304,140,17,128,120,2.23,1.44,0.0,4.0,6.0,0,1277.0,43.0,166,0.0,0.0,0.0,1.481142857142857,0
vandejo01,119,121,346,285,131,29,2,6314.0,1799,805,100,1132,1294,3.23,1.147450110864745,0.0,37.0,21.0,3,9034.0,28.0,915,0.0,0.0,0.0,1.3926195755464048,0
