playerID,AB,R,H,2B,3B,HR,RBI,SB_x,CS_x,BB,SO,IBB,HBP,SH,SF,GIDP,BA,OBP,SLG,OPS,G,GS,InnOuts,PO,A,E,DP,PB,WP,SB_y,CS_y,ZR,HOF,debut
lysanri01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,137.0,5.0,769.0,36.0,28.0,2.0,3.0,0.0,0.0,0.0,0.0,0.0,0,1980-04-12
lystobi01,4.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.2,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1891-08-29
lytleda01,59.0,3.0,8.0,1.0,0.0,0.0,0.0,0.0,0.0,8.0,10.0,0.0,0.0,0.0,0.0,0.0,0.13559322033898305,0.23880597014925373,0.15254237288135594,0.39134834303060967,16.0,0.0,0.0,28.0,22.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1890-08-11
lyttlji01,710.0,71.0,176.0,37.0,5.0,9.0,70.0,4.0,15.0,61.0,139.0,14.0,1.0,8.0,8.0,10.0,0.24788732394366197,0.30512820512820515,0.352112676056338,0.6572408811845432,535.0,332.0,9540.0,805.0,40.0,10.0,14.0,0.0,0.0,0.0,0.0,0.0,0,1969-05-17
maasdu01,214.0,13.0,25.0,4.0,1.0,1.0,14.0,0.0,1.0,13.0,80.0,0.0,0.0,14.0,3.0,2.0,0.11682242990654206,0.16521739130434782,0.1588785046728972,0.324095895977245,195.0,91.0,2204.0,40.0,126.0,7.0,7.0,0.0,0.0,0.0,0.0,0.0,0,1955-04-21
maaske01,1248.0,171.0,287.0,43.0,1.0,65.0,169.0,10.0,5.0,182.0,310.0,21.0,8.0,0.0,10.0,13.0,0.2299679487179487,0.3294198895027624,0.422275641025641,0.7516955305284034,372.0,119.0,3232.0,1103.0,68.0,22.0,95.0,0.0,0.0,0.0,0.0,0.0,0,1990-06-29
mabebo01,31.0,2.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,19.0,0.0,0.0,4.0,0.0,0.0,0.03225806451612903,0.0625,0.03225806451612903,0.09475806451612903,51.0,14.0,426.0,12.0,20.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,0,1958-04-18
mabeuch01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,1.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,2006-05-29
mabryjo01,3409.0,382.0,898.0,183.0,6.0,96.0,446.0,7.0,12.0,284.0,717.0,43.0,22.0,21.0,29.0,88.0,0.26342035787621004,0.3215811965811966,0.4051041361102963,0.7266853326914928,1737.0,683.0,27127.0,4162.0,458.0,58.0,300.0,0.0,0.0,0.0,0.0,0.0,0,1994-04-23
macarma01,21.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09523809523809523,0.13636363636363635,0.09523809523809523,0.2316017316017316,6.0,0.0,0.0,1.0,12.0,5.0,1.0,0.0,0.0,0.0,0.0,0.0,0,1884-05-02
maccofr01,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,11.0,119.0,7.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1976-06-14
macdobi01,49.0,3.0,6.0,1.0,0.0,0.0,1.0,0.0,0.0,4.0,18.0,0.0,0.0,2.0,0.0,1.0,0.12244897959183673,0.18867924528301888,0.14285714285714285,0.33153638814016173,36.0,0.0,0.0,5.0,16.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0,1950-05-06
macdobo01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,197.0,0.0,703.0,12.0,26.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1990-08-14
macdoha01,16.0,0.0,4.0,0.0,0.0,0.0,2.0,0.0,0.0,2.0,3.0,0.0,0.0,0.0,0.0,0.0,0.25,0.3333333333333333,0.25,0.5833333333333333,2.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1928-06-12
macdomi01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,407.0,0.0,1179.0,20.0,44.0,10.0,2.0,0.0,0.0,0.0,0.0,0.0,0,2001-09-22
maceji01,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14285714285714285,0.0,0.14285714285714285,3.0,0.0,0.0,0.0,4.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1891-05-05
macey01,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0,1890-10-02
macfada01,910.0,66.0,129.0,22.0,4.0,1.0,47.0,1.0,1.0,41.0,309.0,0.0,1.0,55.0,0.0,7.0,0.14175824175824175,0.1796218487394958,0.17802197802197803,0.3576438267614738,466.0,0.0,0.0,118.0,635.0,39.0,38.0,0.0,0.0,0.0,0.0,0.0,0,1926-08-25
macfami01,3602.0,458.0,906.0,221.0,17.0,129.0,514.0,12.0,16.0,295.0,700.0,17.0,97.0,10.0,39.0,79.0,0.2515269294836202,0.3218447805603769,0.4297612437534703,0.7516060243138472,1105.0,932.0,24941.0,5597.0,408.0,49.0,75.0,100.0,395.0,543.0,265.0,9.0,0,1987-07-23
macgaed01,16.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.29411764705882354,0.25,0.5441176470588236,4.0,0.0,0.0,37.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1905-04-14
machaal01,5.0,4.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.2,0.3333333333333333,0.4,0.7333333333333334,16.0,0.0,69.0,4.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,2005-09-02
machaan01,68.0,7.0,15.0,5.0,1.0,0.0,6.0,4.0,1.0,12.0,32.0,2.0,0.0,0.0,1.0,0.0,0.22058823529411764,0.3333333333333333,0.3235294117647059,0.6568627450980392,21.0,0.0,549.0,30.0,42.0,5.0,8.0,0.0,0.0,0.0,0.0,0.0,0,2003-09-27
machadi01,68.0,6.0,16.0,3.0,0.0,0.0,5.0,1.0,0.0,7.0,14.0,0.0,0.0,3.0,0.0,3.0,0.23529411764705882,0.30666666666666664,0.27941176470588236,0.586078431372549,24.0,0.0,0.0,37.0,56.0,2.0,14.0,0.0,0.0,0.0,0.0,0.0,0,2015-05-25
machaju01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,101.0,0.0,441.0,8.0,11.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0,1989-09-07
machake01,380.0,30.0,98.0,16.0,3.0,1.0,35.0,4.0,4.0,39.0,68.0,3.0,2.0,2.0,2.0,19.0,0.2578947368421053,0.32860520094562645,0.3236842105263158,0.6522894114719422,154.0,91.0,2778.0,239.0,143.0,13.0,25.0,0.0,0.0,1.0,0.0,0.0,0,1974-09-14
machama01,1818.0,252.0,511.0,103.0,7.0,68.0,215.0,30.0,15.0,128.0,330.0,4.0,9.0,14.0,10.0,51.0,0.2810781078107811,0.3297709923664122,0.45764576457645767,0.7874167569428698,452.0,0.0,7785.0,357.0,977.0,48.0,104.0,0.0,0.0,0.0,0.0,0.0,0,2012-08-09
machami01,21.0,2.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,6.0,0.0,0.0,0.0,0.0,0.0,0.09523809523809523,0.13636363636363635,0.09523809523809523,0.2316017316017316,6.0,5.0,120.0,4.0,13.0,5.0,1.0,0.0,0.0,0.0,0.0,0.0,0,1979-04-20
macharo01,636.0,66.0,146.0,36.0,2.0,11.0,61.0,0.0,0.0,45.0,135.0,7.0,2.0,9.0,2.0,17.0,0.22955974842767296,0.28175182481751826,0.3443396226415094,0.6260914474590277,245.0,42.0,4823.0,1249.0,130.0,13.0,22.0,15.0,16.0,119.0,69.0,3.0,0,1996-07-24
machech01,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.5,0.5,0.5,1.0,14.0,0.0,55.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1971-04-06
macheda01,48.0,14.0,11.0,2.0,0.0,1.0,4.0,0.0,4.0,5.0,3.0,0.0,0.0,2.0,0.0,0.0,0.22916666666666666,0.3018867924528302,0.3333333333333333,0.6352201257861635,23.0,15.0,433.0,27.0,32.0,3.0,6.0,0.0,0.0,0.0,0.0,0.0,0,1978-06-21
machije01,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,189.0,0.0,378.0,9.0,41.0,3.0,4.0,0.0,0.0,0.0,0.0,0.0,0,2012-09-03
maciadr01,96.0,11.0,19.0,6.0,0.0,3.0,12.0,0.0,1.0,15.0,21.0,1.0,1.0,1.0,2.0,3.0,0.19791666666666666,0.30701754385964913,0.3541666666666667,0.6611842105263158,74.0,0.0,555.0,35.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0,2007-09-29
maciajo01,1646.0,201.0,422.0,77.0,17.0,26.0,173.0,43.0,21.0,93.0,243.0,1.0,10.0,28.0,12.0,29.0,0.25637910085054677,0.2981260647359455,0.3712029161603888,0.6693289808963343,741.0,1.0,10065.0,587.0,603.0,37.0,78.0,0.0,0.0,0.0,0.0,0.0,0,1999-05-12
mackape01,1570.0,161.0,355.0,63.0,12.0,30.0,141.0,27.0,12.0,76.0,290.0,10.0,6.0,25.0,9.0,31.0,0.22611464968152867,0.2630945213726671,0.33885350318471336,0.6019480245573805,517.0,398.0,10977.0,926.0,1303.0,86.0,308.0,0.0,0.0,0.0,0.0,0.0,0,1973-07-03
mackbi01,3.0,1.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6666666666666666,0.6666666666666666,1.3333333333333333,2.0,2.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1908-07-14
mackco01,2695.0,391.0,659.0,79.0,28.0,5.0,265.0,127.0,0.0,169.0,127.0,0.0,64.0,3.0,0.0,0.0,0.24452690166975882,0.3046448087431694,0.3001855287569573,0.6048303375001267,728.0,0.0,0.0,3318.0,916.0,318.0,101.0,310.0,0.0,0.0,0.0,0.0,1,1886-09-11
mackde01,1505.0,309.0,343.0,42.0,10.0,1.0,103.0,31.0,7.0,93.0,40.0,0.0,0.0,0.0,0.0,0.0,0.22790697674418606,0.27284105131414266,0.27109634551495015,0.5439373968290928,389.0,0.0,0.0,1946.0,621.0,262.0,119.0,0.0,0.0,0.0,0.0,0.0,0,1871-05-06
mackea01,16.0,0.0,2.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.125,0.125,0.25,0.375,5.0,0.0,0.0,22.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1910-10-05
mackeer01,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1955-04-23
mackego01,24.0,1.0,3.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,6.0,0.0,0.0,0.0,0.0,1.0,0.125,0.16,0.125,0.28500000000000003,7.0,5.0,141.0,22.0,3.0,0.0,2.0,0.0,1.0,2.0,0.0,0.0,0,1961-08-13
mackeke01,36.0,1.0,4.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,17.0,0.0,0.0,1.0,0.0,0.0,0.1111111111111111,0.1111111111111111,0.1111111111111111,0.2222222222222222,129.0,1.0,624.0,8.0,34.0,4.0,4.0,0.0,0.0,0.0,0.0,0.0,0,1960-05-02
mackfr01,21.0,2.0,4.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.19047619047619047,0.19047619047619047,0.3333333333333333,0.5238095238095237,27.0,0.0,0.0,2.0,14.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0,1922-08-16
mackife01,672.0,85.0,174.0,32.0,12.0,2.0,55.0,10.0,6.0,63.0,88.0,0.0,3.0,13.0,0.0,21.0,0.25892857142857145,0.3252032520325203,0.35119047619047616,0.6763937282229965,198.0,0.0,0.0,488.0,14.0,7.0,5.0,0.0,0.0,0.0,0.0,0.0,0,1941-09-07
mackijo01,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.2,9.0,1.0,62.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1953-04-16
mackjo01,260.0,30.0,60.0,13.0,1.0,3.0,44.0,1.0,0.0,34.0,39.0,0.0,0.0,9.0,0.0,4.0,0.23076923076923078,0.3197278911564626,0.3230769230769231,0.6428048142333858,65.0,0.0,0.0,635.0,48.0,6.0,48.0,0.0,0.0,0.0,0.0,0.0,0,1945-04-17
mackoro01,2328.0,307.0,603.0,111.0,18.0,64.0,286.0,49.0,17.0,227.0,586.0,22.0,35.0,10.0,18.0,23.0,0.25902061855670105,0.3316717791411043,0.40463917525773196,0.7363109543988362,1401.0,0.0,15597.0,1023.0,455.0,43.0,77.0,0.0,0.0,0.0,0.0,0.0,0,2001-05-19
mackost01,60.0,4.0,15.0,3.0,0.0,0.0,5.0,0.0,0.0,4.0,11.0,0.0,0.0,0.0,0.0,0.0,0.25,0.296875,0.3,0.596875,20.0,15.0,396.0,32.0,47.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0,1979-08-18
mackqu01,21.0,1.0,5.0,3.0,0.0,0.0,2.0,2.0,0.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,0.23809523809523808,0.2727272727272727,0.38095238095238093,0.6536796536796536,9.0,8.0,186.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1994-06-16
mackra01,2707.0,273.0,629.0,113.0,24.0,34.0,278.0,35.0,17.0,261.0,365.0,0.0,6.0,42.0,0.0,58.0,0.2323605467306982,0.3012777404169469,0.3295160694495752,0.630793809866522,789.0,0.0,0.0,1897.0,2237.0,144.0,597.0,0.0,0.0,0.0,0.0,0.0,0,1938-09-09
mackre01,2062.0,381.0,524.0,87.0,36.0,6.0,262.0,83.0,0.0,275.0,69.0,0.0,36.0,0.0,0.0,0.0,0.2541222114451988,0.35187526337968816,0.3399612027158099,0.6918364660954981,550.0,0.0,0.0,1490.0,1655.0,330.0,229.0,0.0,0.0,0.0,0.0,0.0,0,1885-09-16
macksh01,2857.0,436.0,853.0,155.0,28.0,80.0,398.0,90.0,43.0,256.0,509.0,6.0,51.0,34.0,20.0,72.0,0.29856492824641234,0.36432160804020103,0.45642282114105703,0.820744429181258,1766.0,1406.0,38404.0,3592.0,78.0,54.0,15.0,0.0,0.0,0.0,0.0,0.0,0,1987-05-25
mackto01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,1.0,1.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1985-07-27
maclaev01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,2.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,2010-07-07
maclebi01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,2.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1962-09-13
maclilo01,13.0,2.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,5.0,0.0,0.0,0.0,1.0,0.0,0.07692307692307693,0.07142857142857142,0.07692307692307693,0.14835164835164835,10.0,4.0,120.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1993-09-07
maconma01,502.0,54.0,133.0,17.0,4.0,3.0,46.0,9.0,0.0,16.0,32.0,0.0,0.0,6.0,0.0,6.0,0.2649402390438247,0.2876447876447876,0.33266932270916333,0.6203141103539509,179.0,0.0,0.0,697.0,118.0,21.0,68.0,0.0,0.0,0.0,0.0,0.0,0,1938-04-21
macphha01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1944-08-14
macphwa01,7.0,2.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2857142857142857,0.375,0.5714285714285714,0.9464285714285714,2.0,0.0,0.0,3.0,5.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1922-09-27
macrasc01,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.0,0.0,93.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,2001-07-24
macrima01,34.0,3.0,11.0,1.0,0.0,1.0,4.0,1.0,1.0,2.0,10.0,0.0,0.0,0.0,0.0,0.0,0.3235294117647059,0.3611111111111111,0.4411764705882353,0.8022875816993464,15.0,0.0,231.0,7.0,20.0,1.0,5.0,0.0,0.0,0.0,0.0,0.0,0,2008-05-24
maculji01,1541.0,246.0,319.0,47.0,19.0,7.0,91.0,23.0,0.0,155.0,27.0,0.0,14.0,0.0,0.0,0.0,0.20700843608046723,0.28538011695906434,0.27579493835171964,0.5611750553107839,456.0,0.0,0.0,715.0,977.0,253.0,81.0,0.0,0.0,0.0,0.0,0.0,0,1879-05-05
